system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,avg_power_w,peak_power_w,status,error
capped_ala,22,polar-1-s,float32,cuda:0,100,100,8.5305,11.72,85.3,272.0,43.5,54.8,ok,
chignolin,138,polar-1-s,float32,cuda:0,100,100,14.0571,7.11,140.57,968.0,67.0,75.8,ok,
ubiquitin,?,polar-1-s,float32,cuda:0,100,100,,,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 550.00 MiB. GPU 0 has a total capacity of 14.56 GiB of which 235.81 MiB is free. Including non-PyTorch memory, this process has 14.33 GiB memory in use. Of the allocated memory 14.04 GiB is allocated by PyTorch, and 166.22 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
2LZM,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
1ZG4,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
3N5G,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
5G1P,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
1B3B,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
9VM6,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
water_99k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
water_199k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
water_499k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 602-atom system
capped_ala,22,polar-1-m,float32,cuda:0,100,100,12.1453,8.23,121.45,474.0,50.5,68.2,ok,
chignolin,138,polar-1-m,float32,cuda:0,100,100,30.7846,3.25,307.85,1846.0,67.0,77.8,ok,
