system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,polar-1-s,float32,cuda:0,100,100,7.123,14.04,71.23,272.0,ok,
chignolin,138,polar-1-s,float32,cuda:0,100,100,8.0194,12.47,80.19,968.0,ok,
ubiquitin,602,polar-1-s,float32,cuda:0,100,100,93.81,1.07,938.1,20414.0,ok,
2LZM,?,polar-1-s,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 12.40 GiB. GPU 0 has a total capacity of 22.06 GiB of which 7.13 GiB is free. Including non-PyTorch memory, this process has 14.92 GiB memory in use. Of the allocated memory 14.44 GiB is allocated by PyTorch, and 187.89 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_99k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_199k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_499k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
capped_ala,22,polar-1-m,float32,cuda:0,100,100,9.9327,10.07,99.33,474.0,ok,
chignolin,138,polar-1-m,float32,cuda:0,100,100,15.0381,6.65,150.38,1846.0,ok,
ubiquitin,602,polar-1-m,float32,cuda:0,100,100,145.2055,0.69,1452.06,21926.0,ok,
2LZM,?,polar-1-m,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 12.40 GiB. GPU 0 has a total capacity of 22.06 GiB of which 249.44 MiB is free. Including non-PyTorch memory, this process has 21.81 GiB memory in use. Of the allocated memory 21.25 GiB is allocated by PyTorch, and 272.08 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
