system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,avg_power_w,peak_power_w,status,error
capped_ala,22,AIMNet2,float32,cuda:0,100,100,1.0994,90.96,10.99,50.0,70.9,71.0,ok,
chignolin,138,AIMNet2,float32,cuda:0,100,100,1.4212,70.36,14.21,56.0,72.0,72.1,ok,
ubiquitin,602,AIMNet2,float32,cuda:0,100,100,1.4812,67.51,14.81,102.0,77.2,77.5,ok,
2LZM,1427,AIMNet2,float32,cuda:0,100,100,2.0135,49.67,20.13,278.0,87.0,88.8,ok,
1ZG4,2224,AIMNet2,float32,cuda:0,100,100,2.848,35.11,28.48,518.0,100.3,106.8,ok,
3N5G,2304,AIMNet2,float32,cuda:0,100,100,2.937,34.05,29.37,558.0,99.8,102.8,ok,
5G1P,13193,AIMNet2,float32,cuda:0,100,100,25.3583,3.94,253.58,11554.0,172.5,182.2,ok,
1B3B,19008,AIMNet2,float32,cuda:0,100,100,46.285,2.16,462.85,22096.0,189.2,196.6,ok,
9VM6,?,AIMNet2,float32,cuda:0,100,100,,,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 32.23 GiB. GPU 0 has a total capacity of 44.39 GiB of which 27.73 GiB is free. Including non-PyTorch memory, this process has 16.66 GiB memory in use. Of the allocated memory 16.02 GiB is allocated by PyTorch, and 150.21 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
water_99k,?,AIMNet2,float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_199k,?,AIMNet2,float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_499k,?,AIMNet2,float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
