system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,avg_power_w,peak_power_w,status,error
capped_ala,22,FeNNix-Bio1(S),float32,cuda:0,100,100,0.3734,267.84,3.73,0.0,67.6,68.0,ok,
chignolin,138,FeNNix-Bio1(S),float32,cuda:0,100,100,0.3934,254.21,3.93,0.0,70.7,71.3,ok,
ubiquitin,602,FeNNix-Bio1(S),float32,cuda:0,100,100,15.3736,6.5,153.74,0.0,65.9,71.4,ok,
2LZM,1427,FeNNix-Bio1(S),float32,cuda:0,100,100,34.2925,2.92,342.92,0.0,66.9,71.3,ok,
1ZG4,2224,FeNNix-Bio1(S),float32,cuda:0,100,100,51.0898,1.96,510.9,0.0,65.8,76.7,ok,
3N5G,2304,FeNNix-Bio1(S),float32,cuda:0,100,100,56.9165,1.76,569.16,0.0,65.6,81.6,ok,
5G1P,13193,FeNNix-Bio1(S),float32,cuda:0,100,100,40.2083,2.49,402.08,0.0,70.2,144.1,ok,
1B3B,19008,FeNNix-Bio1(S),float32,cuda:0,100,100,58.5652,1.71,585.65,0.0,71.2,161.5,ok,
9VM6,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,,,error,jax.errors.JaxRuntimeError: RESOURCE_EXHAUSTED: [0] Failed to load in-memory CUBIN (compiled for a different GPU?).: CUDA_ERROR_OUT_OF_MEMORY: out of memory [executable_name='jit_process']
water_99k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_199k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_499k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
capped_ala,22,FeNNix-Bio1(M),float32,cuda:0,100,100,0.3558,281.09,3.56,0.0,67.4,67.7,ok,
chignolin,138,FeNNix-Bio1(M),float32,cuda:0,100,100,0.3996,250.24,4.0,0.0,71.4,72.3,ok,
ubiquitin,602,FeNNix-Bio1(M),float32,cuda:0,100,100,14.5977,6.85,145.98,0.0,67.3,77.7,ok,
2LZM,1427,FeNNix-Bio1(M),float32,cuda:0,100,100,20.1016,4.97,201.02,0.0,67.4,82.5,ok,
1ZG4,2224,FeNNix-Bio1(M),float32,cuda:0,100,100,19.6139,5.1,196.14,0.0,68.3,96.9,ok,
3N5G,2304,FeNNix-Bio1(M),float32,cuda:0,100,100,19.9853,5.0,199.85,0.0,68.0,88.9,ok,
5G1P,13193,FeNNix-Bio1(M),float32,cuda:0,100,100,40.5336,2.47,405.34,0.0,73.9,166.0,ok,
1B3B,19008,FeNNix-Bio1(M),float32,cuda:0,100,100,58.7774,1.7,587.77,0.0,74.6,174.5,ok,
9VM6,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,,,error,jax.errors.JaxRuntimeError: RESOURCE_EXHAUSTED: [0] Failed to load in-memory CUBIN (compiled for a different GPU?).: CUDA_ERROR_OUT_OF_MEMORY: out of memory [executable_name='jit_process']
water_99k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_199k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
water_499k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,,,skipped,OOM on 53700-atom system
