system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,avg_power_w,peak_power_w,status,error
capped_ala,22,polar-1-s,float32,cuda:0,100,100,6.9758,14.34,69.76,272.0,79.2,82.0,ok,
chignolin,138,polar-1-s,float32,cuda:0,100,100,8.0523,12.42,80.52,968.0,144.4,152.0,ok,
ubiquitin,602,polar-1-s,float32,cuda:0,100,100,93.7385,1.07,937.38,20314.0,160.2,174.8,ok,
2LZM,?,polar-1-s,float32,cuda:0,100,100,,,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 12.40 GiB. GPU 0 has a total capacity of 22.06 GiB of which 7.13 GiB is free. Including non-PyTorch memory, this process has 14.92 GiB memory in use. Of the allocated memory 14.44 GiB is allocated by PyTorch, and 187.89 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_99k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_199k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_499k,?,polar-1-s,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
capped_ala,22,polar-1-m,float32,cuda:0,100,100,10.059,9.94,100.59,474.0,85.2,111.8,ok,
chignolin,138,polar-1-m,float32,cuda:0,100,100,14.806,6.75,148.06,1846.0,167.1,184.1,ok,
ubiquitin,602,polar-1-m,float32,cuda:0,100,100,143.3481,0.7,1433.48,21826.0,150.7,175.6,ok,
2LZM,?,polar-1-m,float32,cuda:0,100,100,,,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 12.40 GiB. GPU 0 has a total capacity of 22.06 GiB of which 249.44 MiB is free. Including non-PyTorch memory, this process has 21.81 GiB memory in use. Of the allocated memory 21.25 GiB is allocated by PyTorch, and 272.08 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_99k,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_199k,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
water_499k,?,polar-1-m,float32,cuda:0,100,100,,,,,,,skipped,OOM on 1427-atom system
capped_ala,22,polar-1-l,float32,cuda:0,100,100,14.3145,6.99,143.14,972.0,97.3,101.3,ok,
chignolin,138,polar-1-l,float32,cuda:0,100,100,31.5834,3.17,315.83,4616.0,179.3,183.4,ok,
ubiquitin,?,polar-1-l,float32,cuda:0,100,100,,,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 6.15 GiB. GPU 0 has a total capacity of 22.06 GiB of which 3.94 GiB is free. Including non-PyTorch memory, this process has 18.12 GiB memory in use. Of the allocated memory 17.57 GiB is allocated by PyTorch, and 257.67 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
