system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,avg_power_w,peak_power_w,status,error
capped_ala,22,Egret-1,float32,cuda:0,100,100,2.867,34.88,28.67,226.0,83.8,84.7,ok,
chignolin,138,Egret-1,float32,cuda:0,100,100,6.0831,16.44,60.83,2142.0,179.0,184.5,ok,
ubiquitin,602,Egret-1,float32,cuda:0,100,100,21.1433,4.73,211.43,6880.0,189.7,217.1,ok,
2LZM,1427,Egret-1,float32,cuda:0,100,100,51.5813,1.94,515.81,18062.0,206.2,220.6,ok,
1ZG4,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 1
3N5G,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
5G1P,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
1B3B,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
9VM6,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
water_99k,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
water_199k,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
water_499k,?,Egret-1,float32,cuda:0,100,100,,,,,,,error,exit 255
