system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,AIMNet2,float32,cuda:0,100,100,0.7602,131.54,7.6,50.0,ok,
chignolin,138,AIMNet2,float32,cuda:0,100,100,1.0687,93.57,10.69,56.0,ok,
ubiquitin,602,AIMNet2,float32,cuda:0,100,100,1.5802,63.28,15.8,102.0,ok,
2LZM,1427,AIMNet2,float32,cuda:0,100,100,2.8898,34.6,28.9,278.0,ok,
1ZG4,2224,AIMNet2,float32,cuda:0,100,100,4.2595,23.48,42.59,518.0,ok,
3N5G,2304,AIMNet2,float32,cuda:0,100,100,4.4242,22.6,44.24,558.0,ok,
5G1P,13193,AIMNet2,float32,cuda:0,100,100,26.9969,3.7,269.97,11554.0,ok,
1B3B,19008,AIMNet2,float32,cuda:0,100,100,44.0973,2.27,440.97,22096.0,ok,
9VM6,?,AIMNet2,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 32.23 GiB. GPU 0 has a total capacity of 94.97 GiB of which 13.67 GiB is free. Including non-PyTorch memory, this process has 81.29 GiB memory in use. Of the allocated memory 80.48 GiB is allocated by PyTorch, and 147.78 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
water_99k,?,AIMNet2,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_199k,?,AIMNet2,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_499k,?,AIMNet2,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
