system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,Egret-1,float32,cuda:0,100,100,1.9031,52.54,19.03,226.0,ok,
chignolin,138,Egret-1,float32,cuda:0,100,100,3.238,30.88,32.38,2082.0,ok,
ubiquitin,602,Egret-1,float32,cuda:0,100,100,10.8676,9.2,108.68,6880.0,ok,
2LZM,1427,Egret-1,float32,cuda:0,100,100,26.3498,3.8,263.5,18062.0,ok,
1ZG4,2224,Egret-1,float32,cuda:0,100,100,41.7108,2.4,417.11,29282.0,ok,
3N5G,2304,Egret-1,float32,cuda:0,100,100,45.7344,2.19,457.34,29222.0,ok,
5G1P,?,Egret-1,float32,cuda:0,100,100,,,,,error,
1B3B,?,Egret-1,float32,cuda:0,100,100,,,,,error,
9VM6,?,Egret-1,float32,cuda:0,100,100,,,,,error,
water_99k,?,Egret-1,float32,cuda:0,100,100,,,,,error,
water_199k,?,Egret-1,float32,cuda:0,100,100,,,,,error,
water_499k,?,Egret-1,float32,cuda:0,100,100,,,,,error,
