system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,FeNNix-Bio1(S),float32,cuda:0,100,100,0.2964,337.35,2.96,0.0,ok,
chignolin,138,FeNNix-Bio1(S),float32,cuda:0,100,100,0.328,304.86,3.28,0.0,ok,
ubiquitin,602,FeNNix-Bio1(S),float32,cuda:0,100,100,10.1867,9.82,101.87,0.0,ok,
2LZM,1427,FeNNix-Bio1(S),float32,cuda:0,100,100,22.0325,4.54,220.33,0.0,ok,
1ZG4,2224,FeNNix-Bio1(S),float32,cuda:0,100,100,31.7163,3.15,317.16,0.0,ok,
3N5G,2304,FeNNix-Bio1(S),float32,cuda:0,100,100,33.6406,2.97,336.41,0.0,ok,
5G1P,13193,FeNNix-Bio1(S),float32,cuda:0,100,100,26.2737,3.81,262.74,0.0,ok,
1B3B,19008,FeNNix-Bio1(S),float32,cuda:0,100,100,43.446,2.3,434.46,0.0,ok,
9VM6,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,killed,OOM/SIGKILL
water_99k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_199k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_499k,?,FeNNix-Bio1(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
capped_ala,22,FeNNix-Bio1(M),float32,cuda:0,100,100,0.2972,336.51,2.97,0.0,ok,
chignolin,138,FeNNix-Bio1(M),float32,cuda:0,100,100,0.3429,291.6,3.43,0.0,ok,
ubiquitin,602,FeNNix-Bio1(M),float32,cuda:0,100,100,11.3502,8.81,113.5,0.0,ok,
2LZM,1427,FeNNix-Bio1(M),float32,cuda:0,100,100,11.4853,8.71,114.85,0.0,ok,
1ZG4,2224,FeNNix-Bio1(M),float32,cuda:0,100,100,11.0205,9.07,110.21,0.0,ok,
3N5G,2304,FeNNix-Bio1(M),float32,cuda:0,100,100,21.4823,4.66,214.82,0.0,ok,
5G1P,13193,FeNNix-Bio1(M),float32,cuda:0,100,100,27.2656,3.67,272.66,0.0,ok,
1B3B,19008,FeNNix-Bio1(M),float32,cuda:0,100,100,43.187,2.32,431.87,0.0,ok,
9VM6,53700,FeNNix-Bio1(M),float32,cuda:0,100,100,8.2933,12.06,82.93,0.0,ok,
water_99k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,killed,OOM/SIGKILL
water_199k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,skipped,OOM on 99999-atom system
water_499k,?,FeNNix-Bio1(M),float32,cuda:0,100,100,,,,,skipped,OOM on 99999-atom system
