system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,polar-1-s,float32,cuda:0,100,100,4.2247,23.67,42.25,272.0,ok,
chignolin,138,polar-1-s,float32,cuda:0,100,100,4.2189,23.7,42.19,968.0,ok,
ubiquitin,602,polar-1-s,float32,cuda:0,100,100,43.6576,2.29,436.58,20694.0,ok,
2LZM,?,polar-1-s,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 5.71 GiB. GPU 0 has a total capacity of 94.97 GiB of which 5.32 GiB is free. Including non-PyTorch memory, this process has 89.64 GiB memory in use. Of the allocated memory 88.71 GiB is allocated by PyTorch, and 194.54 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_99k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_199k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_499k,?,polar-1-s,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
capped_ala,22,polar-1-m,float32,cuda:0,100,100,5.9292,16.87,59.29,474.0,ok,
chignolin,138,polar-1-m,float32,cuda:0,100,100,6.1725,16.2,61.72,1846.0,ok,
ubiquitin,602,polar-1-m,float32,cuda:0,100,100,48.4131,2.07,484.13,23406.0,ok,
2LZM,?,polar-1-m,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 165.62 GiB. GPU 0 has a total capacity of 94.97 GiB of which 87.59 GiB is free. Including non-PyTorch memory, this process has 7.38 GiB memory in use. Of the allocated memory 6.43 GiB is allocated by PyTorch, and 208.74 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1ZG4,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
3N5G,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
5G1P,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
1B3B,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
9VM6,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_99k,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_199k,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
water_499k,?,polar-1-m,float32,cuda:0,100,100,,,,,skipped,OOM on 1427-atom system
