system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
capped_ala,22,Orb-v3-omol,float32,cuda:0,100,100,0.9634,103.8,9.63,322.0,ok,
chignolin,138,Orb-v3-omol,float32,cuda:0,100,100,1.195,83.68,11.95,648.0,ok,
ubiquitin,602,Orb-v3-omol,float32,cuda:0,100,100,2.2474,44.5,22.47,1570.0,ok,
2LZM,1427,Orb-v3-omol,float32,cuda:0,100,100,4.7234,21.17,47.23,3774.0,ok,
1ZG4,2224,Orb-v3-omol,float32,cuda:0,100,100,7.1732,13.94,71.73,6136.0,ok,
3N5G,2304,Orb-v3-omol,float32,cuda:0,100,100,7.1343,14.02,71.34,6096.0,ok,
5G1P,13193,Orb-v3-omol,float32,cuda:0,100,100,38.2022,2.62,382.02,34282.0,ok,
1B3B,19008,Orb-v3-omol,float32,cuda:0,100,100,58.1085,1.72,581.09,51704.0,ok,
9VM6,?,Orb-v3-omol,float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1.99 GiB. GPU 0 has a total capacity of 94.97 GiB of which 1.76 GiB is free. Including non-PyTorch memory, this process has 93.21 GiB memory in use. Of the allocated memory 92.49 GiB is allocated by PyTorch, and 45.49 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
water_99k,?,Orb-v3-omol,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_199k,?,Orb-v3-omol,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_499k,?,Orb-v3-omol,float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
